sid,ads,idx,E_MACE_D3_eV,E_bind_MACE_D3_eV,dE_rel_meV,converged,n_steps,d_min_ads_sub_A,site_type_raw_MLIP,fingerprint
S4,CH3O,322,-766.294158,-3.2316,2481551.2,True,113,0.981,unknown,"[1.12, 1.12, 1.22, 1.9, 2.05, 2.05, 2.55, 2.78, 3.04, 4.2]"
S4,CH3O,302,-765.087177,-2.0246,3688532.9,True,92,1.436,unknown,"[1.1, 1.1, 1.1, 1.45, 1.81, 1.82, 1.82, 2.01, 2.1, 2.1]"
S4,CH3O,68,-765.083331,-2.0208,3692378.6,True,87,2.27,unknown,"[1.1, 1.1, 1.1, 1.45, 1.81, 1.82, 1.83, 2.02, 2.1, 2.1]"
S4,CH3O,245,-765.071594,-2.009,3704115.1,True,109,1.434,unknown,"[1.1, 1.1, 1.11, 1.45, 1.82, 1.82, 1.82, 2.01, 2.11, 2.11]"
S4,CH3O,341,-765.070836,-2.0083,3704873.8,True,101,1.439,unknown,"[1.1, 1.1, 1.1, 1.45, 1.81, 1.81, 1.82, 2.01, 2.1, 2.11]"
S4,CH3O,182,-765.070397,-2.0078,3705312.5,True,80,1.436,unknown,"[1.1, 1.1, 1.1, 1.45, 1.82, 1.82, 1.82, 2.02, 2.1, 2.1]"
S4,CH3O,377,-765.070198,-2.0076,3705511.9,True,107,1.434,unknown,"[1.1, 1.1, 1.11, 1.45, 1.82, 1.82, 1.82, 2.01, 2.1, 2.11]"
S4,CH3O,215,-765.069987,-2.0074,3705722.4,True,95,1.44,unknown,"[1.1, 1.1, 1.1, 1.45, 1.81, 1.82, 1.82, 2.01, 2.1, 2.1]"
S4,CH3O,308,-765.069557,-2.007,3706152.4,True,79,1.435,unknown,"[1.1, 1.1, 1.1, 1.45, 1.81, 1.82, 1.83, 2.02, 2.1, 2.11]"
S4,CH3O,89,-765.068853,-2.0063,3706856.1,True,95,1.439,unknown,"[1.1, 1.1, 1.1, 1.45, 1.81, 1.82, 1.82, 2.01, 2.1, 2.11]"
S4,CH3O,353,-765.068786,-2.0062,3706923.7,True,92,1.439,unknown,"[1.1, 1.1, 1.1, 1.45, 1.81, 1.81, 1.83, 2.01, 2.1, 2.1]"
S4,CH3O,384,-765.064956,-2.0024,3710754.0,True,133,1.434,unknown,"[1.1, 1.1, 1.1, 1.45, 1.81, 1.81, 1.82, 2.02, 2.1, 2.11]"
S4,CH3O,125,-765.058465,-1.9959,3717245.0,True,92,1.434,unknown,"[1.1, 1.1, 1.11, 1.45, 1.82, 1.82, 1.83, 2.01, 2.1, 2.1]"
S4,CH3O,227,-765.053037,-1.9905,3722672.2,True,98,1.436,unknown,"[1.1, 1.1, 1.1, 1.45, 1.81, 1.81, 1.83, 2.01, 2.1, 2.1]"
S4,CH3O,386,-765.052813,-1.9903,3722896.9,True,104,1.432,unknown,"[1.1, 1.1, 1.1, 1.45, 1.81, 1.82, 1.82, 2.02, 2.1, 2.1]"
S4,CH3O,119,-765.048675,-1.9861,3727034.5,True,94,1.437,unknown,"[1.1, 1.1, 1.1, 1.45, 1.81, 1.82, 1.82, 2.01, 2.1, 2.11]"
S4,CH3O,244,-765.040934,-1.9784,3734775.5,True,100,1.431,unknown,"[1.1, 1.1, 1.1, 1.45, 1.81, 1.82, 1.82, 2.02, 2.1, 2.1]"
S4,CH3O,193,-765.036389,-1.9738,3739321.0,True,152,1.434,unknown,"[1.1, 1.1, 1.1, 1.45, 1.81, 1.81, 1.82, 2.02, 2.1, 2.1]"
